Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-17,0.2123,0.2306,0.1977,0.205,6784981,0,0
2017-11-18,0.206,0.2113,0.1986,0.2073,3951054,0,0
2017-11-19,0.2086,0.2103,0.2021,0.2064,3140719,0,0
2017-11-20,0.2046,0.2083,0.1998,0.2021,3793902,0,0
2017-11-21,0.2021,0.214,0.1958,0.1976,3547601,0,0
2017-11-22,0.1977,0.2132,0.1973,0.2125,3920450,0,0
2017-11-23,0.2121,0.2133,0.1996,0.2011,3926543,0,0
2017-11-24,0.2015,0.205,0.1965,0.2037,4357522,0,0
2017-11-25,0.2035,0.2108,0.198,0.2108,4814156,0,0
2017-11-26,0.2113,0.228,0.2103,0.2279,5158807,0,0
2017-11-27,0.2279,0.2411,0.2241,0.2381,5318299,0,0
2017-11-28,0.2381,0.2507,0.2367,0.2504,5792916,0,0
2017-11-29,0.2502,0.2653,0.1926,0.1948,7612670,0,0
2017-11-30,0.1998,0.2249,0.1809,0.2057,4371973,0,0
2017-12-01,0.2056,0.2267,0.1982,0.2243,3953575,0,0
2017-12-02,0.2247,0.2247,0.2121,0.2145,3962158,0,0
2017-12-03,0.2157,0.2282,0.2034,0.2165,4826203,0,0
2017-12-04,0.2162,0.2599,0.215,0.244,9082981,0,0
2017-12-05,0.2436,0.2879,0.2368,0.2853,12380100,0,0
2017-12-06,0.2845,0.2912,0.245,0.2634,13587426,0,0
2017-12-07,0.2615,0.2675,0.2166,0.2236,11249000,0,0
2017-12-08,0.2249,0.2435,0.2174,0.2389,7583804,0,0
2017-12-09,0.2381,0.2562,0.2246,0.238,6239262,0,0
2017-12-10,0.2375,0.2375,0.1991,0.2252,6346139,0,0
2017-12-11,0.2255,0.3031,0.225,0.271,19001167,0,0
2017-12-12,0.2739,0.3497,0.2615,0.3163,39513510,0,0
2017-12-13,0.3153,0.3272,0.2868,0.3062,14944481,0,0
2017-12-14,0.304,0.3188,0.2881,0.3073,17027406,0,0
2017-12-15,0.3076,0.3112,0.2714,0.303,12469109,0,0
2017-12-16,0.3055,0.3489,0.3051,0.3483,15862143,0,0
2017-12-17,0.3479,0.4525,0.346,0.4008,33356019,0,0
2017-12-18,0.402,0.562,0.3982,0.5089,42183820,0,0
