Date,Open,High,Low,Close,Adj Close,Volume
2018-12-30,0.185571,0.190413,0.184224,0.188757,0.188757,5413712
2018-12-31,0.188822,0.188822,0.173338,0.175250,0.175250,5875797
2019-01-01,0.175783,0.180818,0.172829,0.178974,0.178974,7085706
2019-01-02,0.179697,0.186242,0.177612,0.185268,0.185268,5117681
2019-01-03,0.185332,0.185391,0.176737,0.177722,0.177722,5554735
2019-01-04,0.178052,0.188137,0.177042,0.185155,0.185155,7953593
2019-01-05,0.184752,0.188058,0.182183,0.182752,0.182752,5292220
2019-01-06,0.182766,0.191066,0.179840,0.188243,0.188243,6268733
2019-01-07,0.188871,0.189160,0.182948,0.183410,0.183410,3682727
2019-01-08,0.183855,0.189268,0.182289,0.186515,0.186515,3619313
2019-01-09,0.186871,0.192459,0.186439,0.187277,0.187277,3545430
2019-01-10,0.187587,0.188713,0.160483,0.166228,0.166228,6422610
2019-01-11,0.165499,0.175302,0.164797,0.172116,0.172116,7717328
2019-01-12,0.172326,0.179031,0.168557,0.174300,0.174300,6696029
2019-01-13,0.174049,0.174181,0.159534,0.160109,0.160109,5755157
2019-01-14,0.160221,0.168549,0.159188,0.166943,0.166943,6299104
2019-01-15,0.166964,0.167895,0.159719,0.161129,0.161129,6408903
2019-01-16,0.160590,0.168030,0.160008,0.165309,0.165309,7218055
2019-01-17,0.165487,0.171557,0.165028,0.171560,0.171560,24924944
2019-01-18,0.171551,0.176981,0.165086,0.167019,0.167019,12032720
2019-01-19,0.166967,0.172657,0.166678,0.172108,0.172108,10223049
2019-01-20,0.171835,0.173937,0.161272,0.165604,0.165604,11485845
2019-01-21,0.165540,0.165973,0.160210,0.162471,0.162471,10262014
2019-01-22,0.162552,0.166315,0.160897,0.165352,0.165352,14484749
2019-01-23,0.165427,0.166834,0.162558,0.163462,0.163462,17548823
2019-01-24,0.163651,0.165934,0.162768,0.165447,0.165447,18610115
2019-01-25,0.165814,0.170960,0.164652,0.169581,0.169581,18147933
2019-01-26,0.169733,0.170459,0.165546,0.166818,0.166818,10696358
2019-01-27,0.166710,0.167538,0.163073,0.164280,0.164280,11350282
2019-01-28,0.165174,0.165289,0.147873,0.149890,0.149890,15058341
2019-01-29,0.149673,0.153218,0.145848,0.151896,0.151896,12829914
2019-01-30,0.152501,0.155340,0.150151,0.152230,0.152230,11227323
2019-01-31,0.152274,0.152960,0.146349,0.149309,0.149309,10625655
2019-02-01,0.148701,0.150396,0.145096,0.146273,0.146273,9661065
2019-02-02,0.146320,0.147968,0.145025,0.147846,0.147846,9265466
2019-02-03,0.147936,0.148129,0.143979,0.145137,0.145137,9650756
2019-02-04,0.145392,0.145470,0.142760,0.143195,0.143195,8533326
2019-02-05,0.142778,0.143175,0.138095,0.138538,0.138538,9813885
2019-02-06,0.138435,0.177443,0.134168,0.154302,0.154302,26178042
2019-02-07,0.154436,0.164819,0.149124,0.152180,0.152180,31461059
2019-02-08,0.152585,0.162371,0.148834,0.158087,0.158087,20127394
2019-02-09,0.158804,0.159356,0.156184,0.158263,0.158263,13179659
2019-02-10,0.158100,0.172590,0.157688,0.165809,0.165809,17669642
2019-02-11,0.166063,0.166082,0.160084,0.160084,0.160084,13021739
2019-02-12,0.160331,0.160363,0.156874,0.157245,0.157245,12112466
2019-02-13,0.157285,0.161603,0.156863,0.161277,0.161277,12396133
2019-02-14,0.160988,0.171838,0.160983,0.166912,0.166912,17318250
2019-02-15,0.167585,0.174632,0.167534,0.170761,0.170761,14449254
2019-02-16,0.170931,0.174684,0.168675,0.170417,0.170417,11685674
2019-02-17,0.170401,0.186158,0.169213,0.182441,0.182441,16960411
2019-02-18,0.182293,0.192506,0.181705,0.189470,0.189470,17541349
2019-02-19,0.189271,0.191487,0.181678,0.185573,0.185573,12240824
2019-02-20,0.185530,0.188974,0.183568,0.188039,0.188039,11791869
2019-02-21,0.187838,0.187838,0.178241,0.180029,0.180029,12506618
2019-02-22,0.180262,0.182422,0.177520,0.179723,0.179723,9604410
2019-02-23,0.179433,0.189699,0.178525,0.185817,0.185817,9299555
2019-02-24,0.185825,0.190374,0.167661,0.173492,0.173492,10989398
2019-02-25,0.172907,0.201283,0.171077,0.195793,0.195793,16149656
2019-02-26,0.194277,0.252324,0.189403,0.217005,0.217005,90968034
2019-02-27,0.213994,0.213994,0.198291,0.208168,0.208168,30044729
2019-02-28,0.207934,0.218839,0.204673,0.214431,0.214431,24206422
2019-03-01,0.214966,0.224271,0.212723,0.218900,0.218900,15416598
2019-03-02,0.218315,0.256669,0.218315,0.239263,0.239263,46896054
2019-03-03,0.238270,0.238416,0.225606,0.226600,0.226600,23147176
2019-03-04,0.226639,0.233931,0.213414,0.224630,0.224630,29169982
2019-03-05,0.224641,0.238466,0.223614,0.236873,0.236873,25674246
2019-03-06,0.236988,0.237840,0.230989,0.234701,0.234701,18246222
2019-03-07,0.234791,0.248997,0.231039,0.244236,0.244236,17728275
2019-03-08,0.244640,0.278364,0.244561,0.262013,0.262013,47063886
2019-03-09,0.262742,0.284658,0.256722,0.277630,0.277630,52802687
2019-03-10,0.278850,0.285304,0.264446,0.265007,0.265007,37290857
2019-03-11,0.265186,0.270555,0.254092,0.258693,0.258693,29333305
2019-03-12,0.258391,0.265558,0.247198,0.258338,0.258338,30284115
2019-03-13,0.258554,0.263913,0.252574,0.252954,0.252954,18342346
2019-03-14,0.253073,0.266516,0.248686,0.258803,0.258803,20793036
2019-03-15,0.258557,0.267320,0.258288,0.262945,0.262945,10598166
2019-03-16,0.263274,0.267838,0.261973,0.265853,0.265853,8719669
